Ticker,Company,Sector,Industry,Country,Market Cap,Volume
AFOS,ARS Focused Opportunity Strategy ETF,Financial,Exchange Traded Fund,USA,-,101
AFRI,Forafric Global PLC,Consumer Defensive,Farm Products,United Kingdom,209.29M,933
AFRM,Affirm Holdings Inc,Technology,Software - Infrastructure,USA,21.20B,"2,263,530"
AFSC,abrdn Focused U.S. Small Cap Active ETF,Financial,Exchange Traded Fund,USA,-,809
AFYA,Afya Ltd,Consumer Defensive,Education & Training Services,Brazil,1.23B,"30,473"
AGAE,Allied Gaming & Entertainment Inc,Communication Services,Entertainment,USA,62.35M,"27,302"
AGEM,abrdn Emerging Markets Dividend Active ETF,Financial,Exchange Traded Fund,USA,-,90
AGEN,Agenus Inc,Healthcare,Biotechnology,USA,149.83M,"122,355"
AGFY,Agrify Corp,Industrials,Farm & Heavy Construction Machinery,USA,48.01M,858
AGGA,Astoria Dynamic Core US Fixed Income ETF,Financial,Exchange Traded Fund,USA,-,772
AGH,Aureus Greenway Holdings Inc,Consumer Cyclical,Leisure,USA,37.75M,"1,049,758"
AGIO,Agios Pharmaceuticals Inc,Healthcare,Biotechnology,USA,2.09B,"490,125"
AGIX,KraneShares Artificial Intelligence & Technology ETF,Financial,Exchange Traded Fund,USA,-,"15,617"
AGMH,AGM Group Holdings Inc,Technology,Computer Hardware,Hong Kong,4.23M,"29,212"
AGMI,Themes Silver Miners ETF,Financial,Exchange Traded Fund,USA,-,158
AGNC,AGNC Investment Corp,Real Estate,REIT - Mortgage,USA,9.64B,"8,319,723"
AGNG,Global X Aging Population ETF,Financial,Exchange Traded Fund,USA,-,647
AGRI,AgriFORCE Growing Systems ltd,Consumer Defensive,Farm Products,Canada,3.45M,"44,835"
AGYS,"Agilysys, Inc",Technology,Software - Application,USA,3.21B,"61,513"
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,-,335
AHCO,AdaptHealth Corp,Healthcare,Medical Devices,USA,1.18B,"406,362"
AHG,Akso Health Group ADR,Healthcare,Medical Distribution,China,387.26M,"9,976"
AIA,iShares Asia 50 ETF,Financial,Exchange Traded Fund,USA,-,"8,755"
AIFD,TCW Artificial Intelligence ETF,Financial,Exchange Traded Fund,USA,-,"2,964"
AIFE,Aifeex Nexus Acquisition Corp,Financial,Shell Companies,USA,112.95M,7
AIFF,Firefly Neuroscience Inc,Technology,Software - Application,USA,35.23M,"155,308"
AIFU,AIFU Inc,Financial,Insurance Brokers,China,21.60M,"3,533"
AIHS,Senmiao Technology Ltd,Financial,Credit Services,China,2.91M,"46,510"
AIMD,Ainos Inc,Healthcare,Medical Devices,USA,10.75M,"24,141"
AIOT,PowerFleet Inc,Technology,Software - Infrastructure,USA,512.42M,"403,022"
AIP,Arteris Inc,Technology,Semiconductors,USA,376.67M,"217,029"
AIPI,REX AI Equity Premium Income ETF,Financial,Exchange Traded Fund,USA,-,"117,114"
AIPO,Defiance AI & Power Infrastructure ETF,Financial,Exchange Traded Fund,USA,-,"37,624"
AIQ,Global X Artificial Intelligence & Technology ETF,Financial,Exchange Traded Fund,USA,-,"455,505"
AIRE,reAlpha Tech Corp,Real Estate,Real Estate Services,USA,31.81M,"2,016,673"
AIRG,Airgain Inc,Technology,Communication Equipment,USA,53.66M,"3,965"
AIRJ,AirJoule Technologies Corp,Industrials,Building Products & Equipment,USA,252.39M,"29,713"
AIRL,Themes Airlines ETF,Financial,Exchange Traded Fund,USA,-,3
AIRO,AIRO Group Holdings Inc,Industrials,Aerospace & Defense,USA,512.76M,"323,080"
AIRR,First Trust RBA American Industrial Renaissance ETF,Financial,Exchange Traded Fund,USA,-,"295,115"
AIRS,Airsculpt Technologies Inc,Healthcare,Medical Care Facilities,USA,363.25M,"1,214,025"
AIRT,Air T Inc,Industrials,Conglomerates,USA,60.78M,228
AISP,Airship AI Holdings Inc,Technology,Software - Infrastructure,USA,157.79M,"554,388"
AIXI,Xiao-I Corp ADR,Technology,Software - Application,China,17.78M,"70,869"
AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure,USA,10.95B,"692,837"
AKAN,Akanda Corp,Healthcare,Drug Manufacturers - Specialty & Generic,United Kingdom,2.61M,"17,835"
AKBA,Akebia Therapeutics Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,970.44M,"1,182,846"
AKRO,Akero Therapeutics Inc,Healthcare,Biotechnology,USA,3.81B,"156,850"
AKTX,Akari Therapeutics Plc ADR,Healthcare,Biotechnology,USA,29.75M,"4,887"
